report_year,vehicles_type,states_name,register_amount,age_used,short_name
2016,PASSENGER VEHICLES,New South Wales,4134786,9.4,NSW
2016,CAMPERVANS,New South Wales,15345,15.5,NSW
2016,LIGHT COMMERCIAL VEHICLES,New South Wales,804665,10.1,NSW
2016,LIGHT RIGID TRUCKS,New South Wales,48788,10.7,NSW
2016,HEAVY RIGID TRUCKS,New South Wales,91242,14.6,NSW
2016,ARTICULATED TRUCKS,New South Wales,21450,11.2,NSW
2016,NON-FREIGHT CARRYING VEHICLES,New South Wales,2908,15.8,NSW
2016,BUSES,New South Wales,25939,11.5,NSW
2016,MOTOR CYCLES,New South Wales,229296,9.4,NSW
2017,PASSENGER VEHICLES,New South Wales,4217440,9.3,NSW
2017,CAMPERVANS,New South Wales,16612,15.4,NSW
2017,LIGHT COMMERCIAL VEHICLES,New South Wales,839451,10,NSW
2017,LIGHT RIGID TRUCKS,New South Wales,50616,10.6,NSW
2017,HEAVY RIGID TRUCKS,New South Wales,94933,14.5,NSW
2017,ARTICULATED TRUCKS,New South Wales,22472,11.4,NSW
2017,NON-FREIGHT CARRYING VEHICLES,New South Wales,2900,15.8,NSW
2017,BUSES,New South Wales,26761,11.5,NSW
2017,MOTOR CYCLES,New South Wales,237996,9.4,NSW
2018,PASSENGER VEHICLES,New South Wales,4277481,9.29,NSW
2018,CAMPERVANS,New South Wales,17831,15.41,NSW
2018,LIGHT COMMERCIAL VEHICLES,New South Wales,875215,9.87,NSW
2018,LIGHT RIGID TRUCKS,New South Wales,52376,10.35,NSW
2018,HEAVY RIGID TRUCKS,New South Wales,97953,14.37,NSW
2018,ARTICULATED TRUCKS,New South Wales,22795,11.1,NSW
2018,NON-FREIGHT CARRYING VEHICLES,New South Wales,3332,12.83,NSW
2018,BUSES,New South Wales,27166,11.49,NSW
2018,MOTOR CYCLES,New South Wales,244236,9.53,NSW
2019,PASSENGER VEHICLES,New South Wales,4308798,9.4,NSW
2019,CAMPERVANS,New South Wales,18916,15.4,NSW
2019,LIGHT COMMERCIAL VEHICLES,New South Wales,915953,9.8,NSW
2019,LIGHT RIGID TRUCKS,New South Wales,55378,10.2,NSW
2019,HEAVY RIGID TRUCKS,New South Wales,100546,14.2,NSW
2019,ARTICULATED TRUCKS,New South Wales,23084,10.9,NSW
2019,NON-FREIGHT CARRYING VEHICLES,New South Wales,3490,12.8,NSW
2019,BUSES,New South Wales,27605,11.5,NSW
2019,MOTOR CYCLES,New South Wales,248430,9.7,NSW
2020,PASSENGER VEHICLES,New South Wales,4348429,9.5,NSW
2020,CAMPERVANS,New South Wales,19601,15.5,NSW
2020,LIGHT COMMERCIAL VEHICLES,New South Wales,941140,9.9,NSW
2020,LIGHT RIGID TRUCKS,New South Wales,58530,10.1,NSW
2020,HEAVY RIGID TRUCKS,New South Wales,101814,14.4,NSW
2020,ARTICULATED TRUCKS,New South Wales,23475,11,NSW
2020,NON-FREIGHT CARRYING VEHICLES,New South Wales,3490,12.7,NSW
2020,BUSES,New South Wales,27838,11.5,NSW
2020,MOTOR CYCLES,New South Wales,254722,9.9,NSW
2021,PASSENGER VEHICLES,New South Wales,4404673,9.7,NSW
2021,CAMPERVANS,New South Wales,20699,15.6,NSW
2021,LIGHT COMMERCIAL VEHICLES,New South Wales,975509,10.1,NSW
2021,LIGHT RIGID TRUCKS,New South Wales,62567,10.1,NSW
2021,HEAVY RIGID TRUCKS,New South Wales,103743,14.7,NSW
2021,ARTICULATED TRUCKS,New South Wales,25358,11.9,NSW
2021,NON-FREIGHT CARRYING VEHICLES,New South Wales,3591,13,NSW
2021,BUSES,New South Wales,26548,11.7,NSW
2021,MOTOR CYCLES,New South Wales,269518,10.1,NSW
2016,PASSENGER VEHICLES,Victoria,3666505,9.8,VIC
2016,CAMPERVANS,Victoria,13118,17,VIC
2016,LIGHT COMMERCIAL VEHICLES,Victoria,652020,10.8,VIC
2016,LIGHT RIGID TRUCKS,Victoria,31309,11.6,VIC
2016,HEAVY RIGID TRUCKS,Victoria,79506,16.9,VIC
2016,ARTICULATED TRUCKS,Victoria,26779,12.1,VIC
2016,NON-FREIGHT CARRYING VEHICLES,Victoria,6550,16.4,VIC
2016,BUSES,Victoria,20302,11.9,VIC
2016,MOTOR CYCLES,Victoria,185248,9.9,VIC
2017,PASSENGER VEHICLES,Victoria,3750484,9.7,VIC
2017,CAMPERVANS,Victoria,13583,16.6,VIC
2017,LIGHT COMMERCIAL VEHICLES,Victoria,675606,10.8,VIC
2017,LIGHT RIGID TRUCKS,Victoria,33040,11.4,VIC
