report_year,states_name,population_number
2016,New South Wales,7732858
2017,New South Wales,7867936
2018,New South Wales,7980168
2019,New South Wales,8087379
2020,New South Wales,8167024
2021,New South Wales,8188651
2016,Victoria,6173172
2017,Victoria,6321606
2018,Victoria,6462019
2019,Victoria,6596880
2020,Victoria,6693858
2021,Victoria,6649066
2016,Australian Capital Territory,403104
2017,Australian Capital Territory,412025
2018,Australian Capital Territory,420379
2019,Australian Capital Territory,426285
2020,Australian Capital Territory,431213
2021,Australian Capital Territory,431611
2016,South Australia,1712843
2017,South Australia,1723923
2018,South Australia,1736527
2019,South Australia,1752681
2020,South Australia,1770277
2021,South Australia,1773396
2016,Queensland,4845152
2017,Queensland,4927629
2018,Queensland,5009424
2019,Queensland,5093884
2020,Queensland,5175245
2021,Queensland,5221233
2016,Western Australia,2555978
2017,Western Australia,2574193
2018,Western Australia,2594181
2019,Western Australia,2623259
2020,Western Australia,2664212
2021,Western Australia,2682257
2016,Northern Territory,245678
2017,Northern Territory,247517
2018,Northern Territory,247058
2019,Northern Territory,246143
2020,Northern Territory,246235
2021,Northern Territory,245909
2016,Tasmania,517514
2017,Tasmania,522410
2018,Tasmania,528298
2019,Tasmania,534575
2020,Tasmania,540536
2021,Tasmania,541315
2016,Other Territories,4608
2017,Other Territories,4621
2018,Other Territories,4634
2019,Other Territories,4659
2020,Other Territories,4667
2021,Other Territories,4704
