report_year,vehicles_type,states_name,register_amount,age_used
2016,PASSENGER VEHICLES,New South Wales,4134786,9.40
2016,CAMPERVANS,New South Wales,15345,15.50
2016,LIGHT COMMERCIAL VEHICLES,New South Wales,804665,10.10
2016,LIGHT RIGID TRUCKS,New South Wales,48788,10.70
2016,HEAVY RIGID TRUCKS,New South Wales,91242,14.60
2016,ARTICULATED TRUCKS,New South Wales,21450,11.20
2016,NON-FREIGHT CARRYING VEHICLES,New South Wales,2908,15.80
2016,BUSES,New South Wales,25939,11.50
2016,MOTOR CYCLES,New South Wales,229296,9.40
2017,PASSENGER VEHICLES,New South Wales,4217440,9.30
2017,CAMPERVANS,New South Wales,16612,15.40
2017,LIGHT COMMERCIAL VEHICLES,New South Wales,839451,10.00
2017,LIGHT RIGID TRUCKS,New South Wales,50616,10.60
2017,HEAVY RIGID TRUCKS,New South Wales,94933,14.50
2017,ARTICULATED TRUCKS,New South Wales,22472,11.40
2017,NON-FREIGHT CARRYING VEHICLES,New South Wales,2900,15.80
2017,BUSES,New South Wales,26761,11.50
2017,MOTOR CYCLES,New South Wales,237996,9.40
2018,PASSENGER VEHICLES,New South Wales,4277481,9.29
2018,CAMPERVANS,New South Wales,17831,15.41
2018,LIGHT COMMERCIAL VEHICLES,New South Wales,875215,9.87
2018,LIGHT RIGID TRUCKS,New South Wales,52376,10.35
2018,HEAVY RIGID TRUCKS,New South Wales,97953,14.37
2018,ARTICULATED TRUCKS,New South Wales,22795,11.10
2018,NON-FREIGHT CARRYING VEHICLES,New South Wales,3332,12.83
2018,BUSES,New South Wales,27166,11.49
2018,MOTOR CYCLES,New South Wales,244236,9.53
2019,PASSENGER VEHICLES,New South Wales,4308798,9.40
2019,CAMPERVANS,New South Wales,18916,15.40
2019,LIGHT COMMERCIAL VEHICLES,New South Wales,915953,9.80
2019,LIGHT RIGID TRUCKS,New South Wales,55378,10.20
2019,HEAVY RIGID TRUCKS,New South Wales,100546,14.20
2019,ARTICULATED TRUCKS,New South Wales,23084,10.90
2019,NON-FREIGHT CARRYING VEHICLES,New South Wales,3490,12.80
2019,BUSES,New South Wales,27605,11.50
2019,MOTOR CYCLES,New South Wales,248430,9.70
2020,PASSENGER VEHICLES,New South Wales,4348429,9.50
2020,CAMPERVANS,New South Wales,19601,15.50
2020,LIGHT COMMERCIAL VEHICLES,New South Wales,941140,9.90
2020,LIGHT RIGID TRUCKS,New South Wales,58530,10.10
2020,HEAVY RIGID TRUCKS,New South Wales,101814,14.40
2020,ARTICULATED TRUCKS,New South Wales,23475,11.00
2020,NON-FREIGHT CARRYING VEHICLES,New South Wales,3490,12.70
2020,BUSES,New South Wales,27838,11.50
2020,MOTORCYCLES,New South Wales,254722,9.90
2021,PASSENGER VEHICLES,New South Wales,4404673,9.70
2021,CAMPERVANS,New South Wales,20699,15.60
2021,LIGHT COMMERCIAL VEHICLES,New South Wales,975509,10.10
2021,LIGHT RIGID TRUCKS,New South Wales,62567,10.10
2021,HEAVY RIGID TRUCKS,New South Wales,103743,14.70
